Issue key,Issue id,Parent id,Summary,Issue Type,Status,Resolution,Assignee,Created,Updated,Resolved,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Custom field (Estimated Points),Custom field (Actual Points)
CD-1746,1027270,,"MPOI resolution must work for ""variant splits"" even if the HW structure of the variants differs",Task,Closed,Done,robert.adonyi,04/Apr/17 4:50 PM,04/May/17 5:25 PM,02/May/17 1:32 PM,Done in Apr 2017,,,Maintenance Hardware,,,0.0,5.0
CD-1747,1027387,1013164,April 2017 - Develop and document a script to create an automated TP skeleton,Sub-task,Closed,Done,eduard.stefes,05/Apr/17 11:18 AM,04/May/17 5:25 PM,21/Apr/17 10:36 AM,Done in Apr 2017,,,Application Service,,,14.0,14.0
CD-1748,1027388,1019043,April 2017 - Ramp of Engineer,Sub-task,Closed,Done,asad-ahmed.ansari,05/Apr/17 11:21 AM,04/May/17 5:25 PM,21/Apr/17 10:35 AM,Done in Apr 2017,,,Application Service,,,26.0,26.0
CD-1749,1027389,1019043,April 2017 - Ramp of Engineer,Sub-task,Closed,Done,wassim.dhokar,05/Apr/17 11:24 AM,04/May/17 5:25 PM,21/Apr/17 10:35 AM,Done in Apr 2017,,,Application Service,,,26.0,27.5
CD-1750,1027392,,AVI64 Training,Task,Closed,Done,wassim.dhokar,05/Apr/17 11:27 AM,04/May/17 5:25 PM,07/Apr/17 4:46 PM,Done in Apr 2017,,,Training and Documentation,,,10.0,10.0
CD-1751,1027394,,AVI64 Training,Task,Closed,Done,asad-ahmed.ansari,05/Apr/17 11:28 AM,28/Nov/17 9:31 AM,10/Apr/17 8:50 AM,Done in Apr 2017,,,Training and Documentation,,,10.0,10.0
CD-1752,1027774,,Bug fixing,Task,Closed,Done,robert.adonyi,07/Apr/17 8:37 AM,04/May/17 5:25 PM,02/May/17 1:33 PM,Done in Apr 2017,,,Maintenance Hardware,,,0.0,7.0
CD-1753,1029637,1013164,Bugfix/ enhancements for TP skeleton generator,Sub-task,Closed,Done,eduard.stefes,21/Apr/17 10:45 AM,06/Jun/17 1:17 PM,31/May/17 10:29 AM,Done in May 2017,,,Application Service,,,2.0,2.0
CD-1758,1029647,1019043,May 2017 - Ramp of Engineer,Sub-task,Closed,Done,terry.payet,21/Apr/17 11:15 AM,06/Jun/17 1:17 PM,31/May/17 10:52 AM,Done in May 2017,,,Application Service,,,19.0,19.0
CD-1759,1030539,,Capability file signing automation,Task,Closed,Done,elvedin.mustafic,27/Apr/17 4:06 PM,04/May/17 5:25 PM,02/May/17 1:32 PM,Done in Apr 2017,,,Maintenance Hardware,,,10.0,3.0
CD-1760,1030662,,7.2.3.11_FVi testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,28/Apr/17 11:19 AM,04/May/17 5:25 PM,02/May/17 2:39 PM,Done in Apr 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1761,1030664,,7.2.3.11_FVi testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,28/Apr/17 11:19 AM,06/Jun/17 1:17 PM,04/May/17 4:16 PM,Done in May 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1762,1030667,,7.2.3.11_FVi testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,28/Apr/17 11:22 AM,04/May/17 5:25 PM,02/May/17 2:39 PM,Done in Apr 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1763,1030668,,7.2.3.11_FVi testcycle on ATH Ipet.,Task,Closed,Done,arvind.anche,28/Apr/17 11:23 AM,04/May/17 5:25 PM,02/May/17 2:40 PM,Done in Apr 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1764,1030670,,7.2.3.11_FVi testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,28/Apr/17 11:24 AM,06/Jun/17 1:17 PM,04/May/17 4:16 PM,Done in May 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1765,1030681,,7.4.2.2_FVi testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,28/Apr/17 11:41 AM,04/May/17 5:25 PM,02/May/17 2:40 PM,Done in Apr 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1766,1030682,,7.4.2.2_FVi testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,28/Apr/17 11:43 AM,04/May/17 5:25 PM,02/May/17 2:40 PM,Done in Apr 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1767,1030683,,7.4.2.2_FVi testcycle on ATH Ipet.,Task,Closed,Done,arvind.anche,28/Apr/17 11:43 AM,04/May/17 5:25 PM,02/May/17 2:40 PM,Done in Apr 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1768,1030684,,7.4.2.2_FVi testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,28/Apr/17 11:45 AM,06/Jun/17 1:17 PM,04/May/17 4:16 PM,Done in May 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1769,1030685,,7.4.2.2_FVi testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,28/Apr/17 11:46 AM,06/Jun/17 1:17 PM,04/May/17 4:16 PM,Done in May 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1770,1030686,,8.0.6.1-FVi testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,28/Apr/17 11:47 AM,06/Jun/17 1:17 PM,04/May/17 4:16 PM,Done in May 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1771,1030688,,8.0.6.1-FVi testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,28/Apr/17 11:51 AM,06/Jun/17 1:17 PM,04/May/17 4:16 PM,Done in May 2017,,,BBN-TestLab Testing,,,1.5,1.5
CD-1772,1030690,,8.0.6.1-FVi testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,28/Apr/17 11:52 AM,04/May/17 5:25 PM,02/May/17 2:40 PM,Done in Apr 2017,,,BBN-TestLab Testing,,,3.0,3.0
